entrada,saida,formato_completo
"faça 15 centímetro do lado esquerdo, depois 37 centímetro à esquerda e por fim 65 centímetro lado esquerdo",15L37L65L,"[faça 15 centímetro do lado esquerdo, depois 37 centímetro à esquerda e por fim 65 centímetro lado esquerdo → 15L37L65L]"
"93 à esquerda, 24 pra frente",93L24F,"[93 à esquerda, 24 pra frente → 93L24F]"
proceda 10 cm para trás,10B,[proceda 10 cm para trás → 10B]
"dirija-se 24 esquerda, 66 pra esquerda e 40 do lado direito",24L66L40R,"[dirija-se 24 esquerda, 66 pra esquerda e 40 do lado direito → 24L66L40R]"
execute 2 pra frente após isso 66 do lado direito,2F66R,[execute 2 pra frente após isso 66 do lado direito → 2F66R]
movimente-se para a direita 18 mm,18R,[movimente-se para a direita 18 mm → 18R]
avance 89cm pra frente,89F,[avance 89cm pra frente → 89F]
mova-se 22 mm atrás e 16 mm para a esquerda e 29 mm voltar,22B16L29B,[mova-se 22 mm atrás e 16 mm para a esquerda e 29 mm voltar → 22B16L29B]
move 46 pra esquerda e depois 90 adiante,46L90F,[move 46 pra esquerda e depois 90 adiante → 46L90F]
"faça 72 metros avante, após isso 39 metros adiante",72F39F,"[faça 72 metros avante, após isso 39 metros adiante → 72F39F]"
"movimente 87 centimetro trás, após isso 34 centimetro para atrás",87B34B,"[movimente 87 centimetro trás, após isso 34 centimetro para atrás → 87B34B]"
"faça 44 centímetros esquerda, depois 31 centímetros atrás e por fim 42 centímetros para esquerda",44L31B42L,"[faça 44 centímetros esquerda, depois 31 centímetros atrás e por fim 42 centímetros para esquerda → 44L31B42L]"
movimenta 38 centímetros para a esquerda,38L,[movimenta 38 centímetros para a esquerda → 38L]
58 centimetro na direção atrás,58B,[58 centimetro na direção atrás → 58B]
desloca 97 centimetro para trás logo após 67 centimetro esquerda,97B67L,[desloca 97 centimetro para trás logo após 67 centimetro esquerda → 97B67L]
faça movimento pra trás de 38 m,38B,[faça movimento pra trás de 38 m → 38B]
mova-se pra frente 21 centimetro,21F,[mova-se pra frente 21 centimetro → 21F]
"52 adiante, 32 para a esquerda, 66 para atrás",52F32L66B,"[52 adiante, 32 para a esquerda, 66 para atrás → 52F32L66B]"
execute 54 à esquerda logo após 16 pra direita,54L16R,[execute 54 à esquerda logo após 16 pra direita → 54L16R]
execute 9 à esquerda depois 94 direita,9L94R,[execute 9 à esquerda depois 94 direita → 9L94R]
desloque 31 metros voltar,31B,[desloque 31 metros voltar → 31B]
desloque-se 79 metros avante e 88 metros para frente,79F88F,[desloque-se 79 metros avante e 88 metros para frente → 79F88F]
45 metros pra trás,45B,[45 metros pra trás → 45B]
"primeiro 41 adiante, então 71 em frente, finalmente 43 direita",41F71F43R,"[primeiro 41 adiante, então 71 em frente, finalmente 43 direita → 41F71F43R]"
caminha em direção à direita 99 unidades,99R,[caminha em direção à direita 99 unidades → 99R]
move 83 centímetro pra esquerda e 46 centímetro para esquerda,83L46L,[move 83 centímetro pra esquerda e 46 centímetro para esquerda → 83L46L]
movimente-se 20unidades pra frente,20F,[movimente-se 20unidades pra frente → 20F]
"29 para atrás, 61 para frente, 94 avante, 39 do lado direito",29B61F94F39R,"[29 para atrás, 61 para frente, 94 avante, 39 do lado direito → 29B61F94F39R]"
88 mm na direção trás,88B,[88 mm na direção trás → 88B]
"desloca 1 frente, 21 na frente e 77 do lado esquerdo",1F21F77L,"[desloca 1 frente, 21 na frente e 77 do lado esquerdo → 1F21F77L]"
"movimente 60 unidades para a esquerda, após isso 66 unidades retroceder",60L66B,"[movimente 60 unidades para a esquerda, após isso 66 unidades retroceder → 60L66B]"
move 63 milímetros à direita e 84 milímetros esquerda,63R84L,[move 63 milímetros à direita e 84 milímetros esquerda → 63R84L]
"28 do lado direito, 24 à direita",28R24R,"[28 do lado direito, 24 à direita → 28R24R]"
"primeiro 8 na frente, depois 19 atrás",8F19B,"[primeiro 8 na frente, depois 19 atrás → 8F19B]"
mova-se recuar 70 centimetro,70B,[mova-se recuar 70 centimetro → 70B]
vai 24 mm à direita depois 22 mm pra trás,24R22B,[vai 24 mm à direita depois 22 mm pra trás → 24R22B]
"desloque-se 1 do lado direito, depois 11 para esquerda, então 90 adiante e finalmente 9 frente",1R11L90F9F,"[desloque-se 1 do lado direito, depois 11 para esquerda, então 90 adiante e finalmente 9 frente → 1R11L90F9F]"
avance 20 m para atrás após isso 51 m pra direita,20B51R,[avance 20 m para atrás após isso 51 m pra direita → 20B51R]
realize movimento de 80 à frente seguido de 12 recuar,80F12B,[realize movimento de 80 à frente seguido de 12 recuar → 80F12B]
desloca 91 para frente e 19 para esquerda,91F19L,[desloca 91 para frente e 19 para esquerda → 91F19L]
proceda 14 passos do lado direito,14R,[proceda 14 passos do lado direito → 14R]
"100 à direita, 71 pra frente",100R71F,"[100 à direita, 71 pra frente → 100R71F]"
locomova-se 39 para esquerda e 72 para esquerdo,39L72L,[locomova-se 39 para esquerda e 72 para esquerdo → 39L72L]
mova 69 mm à esquerda,69L,[mova 69 mm à esquerda → 69L]
movimente 28 cm lado direito,28R,[movimente 28 cm lado direito → 28R]
mova 90 passos para trás,90B,[mova 90 passos para trás → 90B]
mova 13 pra trás e depois 25 lado esquerdo,13B25L,[mova 13 pra trás e depois 25 lado esquerdo → 13B25L]
97 centimetros trás,97B,[97 centimetros trás → 97B]
"primeiro 11 para a esquerda, então 36 recuar, finalmente 72 lado direito",11L36B72R,"[primeiro 11 para a esquerda, então 36 recuar, finalmente 72 lado direito → 11L36B72R]"
avance na direção de frente 2 cm,2F,[avance na direção de frente 2 cm → 2F]
"primeiro 22 lado direito, depois 54 retroceder",22R54B,"[primeiro 22 lado direito, depois 54 retroceder → 22R54B]"
navegue 91 milímetros para esquerda,91L,[navegue 91 milímetros para esquerda → 91L]
"primeiro 49 frente, depois 84 para direita",49F84R,"[primeiro 49 frente, depois 84 para direita → 49F84R]"
ande 78 trás e depois 55 pra esquerda,78B55L,[ande 78 trás e depois 55 pra esquerda → 78B55L]
desloque-se 32 frente e posteriormente 91 pra esquerda,32F91L,[desloque-se 32 frente e posteriormente 91 pra esquerda → 32F91L]
desloque-se 56 milímetros pra trás na sequência 77 milímetros trás,56B77B,[desloque-se 56 milímetros pra trás na sequência 77 milímetros trás → 56B77B]
caminhe na direção de esquerda 11 metros,11L,[caminhe na direção de esquerda 11 metros → 11L]
"movimente 78 centimetros do lado esquerdo, após isso 44 centimetros para a direita",78L44R,"[movimente 78 centimetros do lado esquerdo, após isso 44 centimetros para a direita → 78L44R]"
"movimente 31 mm à frente, após isso 19 mm pra direita",31F19R,"[movimente 31 mm à frente, após isso 19 mm pra direita → 31F19R]"
realize deslocamento de 67 mm para frente,67F,[realize deslocamento de 67 mm para frente → 67F]
"movimente 54 unidades adiante, após isso 56 unidades à esquerda",54F56L,"[movimente 54 unidades adiante, após isso 56 unidades à esquerda → 54F56L]"
faça movimento recuar de 92 centimetro,92B,[faça movimento recuar de 92 centimetro → 92B]
avance 83 centimetro para direita,83R,[avance 83 centimetro para direita → 83R]
"mova 73 para avante, 60 para esquerdo e 33 para voltar",73F60L33B,"[mova 73 para avante, 60 para esquerdo e 33 para voltar → 73F60L33B]"
mova 75 metros para a direita,75R,[mova 75 metros para a direita → 75R]
navegue 82 mm pra trás em seguida 16 mm lado direito,82B16R,[navegue 82 mm pra trás em seguida 16 mm lado direito → 82B16R]
desloque 87 milímetros do lado direito,87R,[desloque 87 milímetros do lado direito → 87R]
realize deslocamento de 61 centimetros pra trás,61B,[realize deslocamento de 61 centimetros pra trás → 61B]
"faça 90 metros do lado esquerdo, depois 53 metros do lado direito",90L53R,"[faça 90 metros do lado esquerdo, depois 53 metros do lado direito → 90L53R]"
"primeiro 11 lado esquerdo, então 21 pra esquerda, finalmente 19 em frente",11L21L19F,"[primeiro 11 lado esquerdo, então 21 pra esquerda, finalmente 19 em frente → 11L21L19F]"
execute movimento de 7 cm esquerda,7L,[execute movimento de 7 cm esquerda → 7L]
locomova-se 15 cm para frente depois 7 cm pra trás,15F7B,[locomova-se 15 cm para frente depois 7 cm pra trás → 15F7B]
realize deslocamento de 75 metros pra frente,75F,[realize deslocamento de 75 metros pra frente → 75F]
96 m na direção atrás,96B,[96 m na direção atrás → 96B]
vá 92 para direita,92R,[vá 92 para direita → 92R]
"navegue 92 para atrás, 12 para na frente e 43 para frente",92B12F43F,"[navegue 92 para atrás, 12 para na frente e 43 para frente → 92B12F43F]"
"movimente 39 passos à frente, após isso 13 passos à esquerda",39F13L,"[movimente 39 passos à frente, após isso 13 passos à esquerda → 39F13L]"
desloque 32 centimetros para atrás,32B,[desloque 32 centimetros para atrás → 32B]
caminhe para a esquerda 27 cm,27L,[caminhe para a esquerda 27 cm → 27L]
"faça 58 cm para esquerda, depois 81 cm recuar e por fim 77 cm do lado esquerdo",58L81B77L,"[faça 58 cm para esquerda, depois 81 cm recuar e por fim 77 cm do lado esquerdo → 58L81B77L]"
desloque-se 93 milímetros pra trás,93B,[desloque-se 93 milímetros pra trás → 93B]
"42 à esquerda, 58 do lado esquerdo, 35 para direita",42L58L35R,"[42 à esquerda, 58 do lado esquerdo, 35 para direita → 42L58L35R]"
"sequência completa: 38 centimetro à esquerda, 78 centimetro para esquerda, 80 centimetro atrás, 83 centimetro pra frente",38L78L80B83F,"[sequência completa: 38 centimetro à esquerda, 78 centimetro para esquerda, 80 centimetro atrás, 83 centimetro pra frente → 38L78L80B83F]"
92 milímetros na direção direita,92R,[92 milímetros na direção direita → 92R]
"execute sequência: 39 voltar, 32 do lado esquerdo, 95 atrás",39B32L95B,"[execute sequência: 39 voltar, 32 do lado esquerdo, 95 atrás → 39B32L95B]"
dirija-se 78 unidades à frente após isso 69 unidades para trás,78F69B,[dirija-se 78 unidades à frente após isso 69 unidades para trás → 78F69B]
movimente 38 m pra frente,38F,[movimente 38 m pra frente → 38F]
"prossiga 57 direita, 4 para frente e 84 recuar",57R4F84B,"[prossiga 57 direita, 4 para frente e 84 recuar → 57R4F84B]"
mova para a esquerda 5 centimetros,5L,[mova para a esquerda 5 centimetros → 5L]
move 49 mm para a direita,49R,[move 49 mm para a direita → 49R]
desloque-se 61 atrás e posteriormente 21 à esquerda,61B21L,[desloque-se 61 atrás e posteriormente 21 à esquerda → 61B21L]
desloque 63 passos lado esquerdo,63L,[desloque 63 passos lado esquerdo → 63L]
caminhe 3unidades para a esquerda,3L,[caminhe 3unidades para a esquerda → 3L]
"movimente 95 centímetros avante, após isso 22 centímetros esquerda",95F22L,"[movimente 95 centímetros avante, após isso 22 centímetros esquerda → 95F22L]"
movimenta 91 centímetros recuar então 16 centímetros retroceder,91B16B,[movimenta 91 centímetros recuar então 16 centímetros retroceder → 91B16B]
mova 55 centimetros para esquerda,55L,[mova 55 centimetros para esquerda → 55L]
"locomova-se 47 adiante, 27 para frente e 94 para a esquerda",47F27F94L,"[locomova-se 47 adiante, 27 para frente e 94 para a esquerda → 47F27F94L]"
"movimente 23 centimetros à frente, após isso 9 centimetros à esquerda",23F9L,"[movimente 23 centimetros à frente, após isso 9 centimetros à esquerda → 23F9L]"
ande 56 centímetro do lado direito,56R,[ande 56 centímetro do lado direito → 56R]
"37 m em direção a atrás, 19 m em direção a frente",37B19F,"[37 m em direção a atrás, 19 m em direção a frente → 37B19F]"
"33 trás, 32 retroceder",33B32B,"[33 trás, 32 retroceder → 33B32B]"
mova 34 centímetros trás logo após 36 centímetros pra trás,34B36B,[mova 34 centímetros trás logo após 36 centímetros pra trás → 34B36B]
ande 68 milímetros para direita,68R,[ande 68 milímetros para direita → 68R]
"dirija-se 2 para trás, 90 para a direita e 32 para esquerda",2B90R32L,"[dirija-se 2 para trás, 90 para a direita e 32 para esquerda → 2B90R32L]"
"faça 19 centímetro voltar, logo após 16 centímetro para esquerda",19B16L,"[faça 19 centímetro voltar, logo após 16 centímetro para esquerda → 19B16L]"
"faça 39 milímetros atrás, após isso 57 milímetros para a direita",39B57R,"[faça 39 milímetros atrás, após isso 57 milímetros para a direita → 39B57R]"
movimente 74 m retroceder,74B,[movimente 74 m retroceder → 74B]
realize deslocamento de 14 centimetro à frente,14F,[realize deslocamento de 14 centimetro à frente → 14F]
desloque-se 3 à esquerda e posteriormente 23 para esquerda,3L23L,[desloque-se 3 à esquerda e posteriormente 23 para esquerda → 3L23L]
movimente 90 m direita,90R,[movimente 90 m direita → 90R]
movimente-se para trás 50 centímetros,50B,[movimente-se para trás 50 centímetros → 50B]
mova 71 cm adiante,71F,[mova 71 cm adiante → 71F]
"movimente 71 milímetros à esquerda, após isso 95 milímetros voltar",71L95B,"[movimente 71 milímetros à esquerda, após isso 95 milímetros voltar → 71L95B]"
"movimente 63 unidades à direita, após isso 50 unidades para esquerda",63R50L,"[movimente 63 unidades à direita, após isso 50 unidades para esquerda → 63R50L]"
"movimenta 7 para em frente, 66 para direito e 31 para a direita",7F66R31R,"[movimenta 7 para em frente, 66 para direito e 31 para a direita → 7F66R31R]"
avance para frente 94 mm,94F,[avance para frente 94 mm → 94F]
desloque-se 81 recuar e posteriormente 75 direita,81B75R,[desloque-se 81 recuar e posteriormente 75 direita → 81B75R]
desloque-se 60 unidades para direita,60R,[desloque-se 60 unidades para direita → 60R]
execute movimento de 95 m à frente,95F,[execute movimento de 95 m à frente → 95F]
desloque-se 29 para atrás e posteriormente 85 na frente,29B85F,[desloque-se 29 para atrás e posteriormente 85 na frente → 29B85F]
siga 98 milímetros esquerda,98L,[siga 98 milímetros esquerda → 98L]
mova 48 metros para a esquerda,48L,[mova 48 metros para a esquerda → 48L]
"execute 95 à esquerda, 2 para atrás, 15 para a esquerda e 81 à frente",95L2B15L81F,"[execute 95 à esquerda, 2 para atrás, 15 para a esquerda e 81 à frente → 95L2B15L81F]"
"73 passos em direção à atrás, 64 passos em direção à direita",73B64R,"[73 passos em direção à atrás, 64 passos em direção à direita → 73B64R]"
"primeiro 8 para a direita, então 61 à frente, finalmente 100 retroceder",8R61F100B,"[primeiro 8 para a direita, então 61 à frente, finalmente 100 retroceder → 8R61F100B]"
mova-se 89 milímetros lado esquerdo e 9 milímetros do lado direito,89L9R,[mova-se 89 milímetros lado esquerdo e 9 milímetros do lado direito → 89L9R]
caminha 53cm lado esquerdo,53L,[caminha 53cm lado esquerdo → 53L]
mova-se 51 centimetro adiante então 14 centimetro à frente,51F14F,[mova-se 51 centimetro adiante então 14 centimetro à frente → 51F14F]
siga em direção à direita 91 centímetros,91R,[siga em direção à direita 91 centímetros → 91R]
"93 do lado esquerdo, 19 na frente, 86 pra trás, 40 para direita",93L19F86B40R,"[93 do lado esquerdo, 19 na frente, 86 pra trás, 40 para direita → 93L19F86B40R]"
vai 5 centimetro atrás na sequência 38 centimetro para atrás na sequência 65 centimetro lado direito,5B38B65R,[vai 5 centimetro atrás na sequência 38 centimetro para atrás na sequência 65 centimetro lado direito → 5B38B65R]
"45 à frente, 85 para direita",45F85R,"[45 à frente, 85 para direita → 45F85R]"
faça movimento à direita de 73 centímetro,73R,[faça movimento à direita de 73 centímetro → 73R]
execute movimento de 57 centimetro para atrás,57B,[execute movimento de 57 centimetro para atrás → 57B]
ande 59mm na frente,59F,[ande 59mm na frente → 59F]
"77 avante, 66 frente, 69 pra direita",77F66F69R,"[77 avante, 66 frente, 69 pra direita → 77F66F69R]"
realize deslocamento de 25 centímetros à esquerda,25L,[realize deslocamento de 25 centímetros à esquerda → 25L]
"faça 5 cm pra frente, na sequência 38 cm em frente",5F38F,"[faça 5 cm pra frente, na sequência 38 cm em frente → 5F38F]"
"53 em frente, 32 para esquerda, 64 para atrás",53F32L64B,"[53 em frente, 32 para esquerda, 64 para atrás → 53F32L64B]"
prossiga para trás 20 centímetros,20B,[prossiga para trás 20 centímetros → 20B]
desloque-se 82 voltar e posteriormente 20 para frente,82B20F,[desloque-se 82 voltar e posteriormente 20 para frente → 82B20F]
38 centimetro na direção em frente,38F,[38 centimetro na direção em frente → 38F]
"execute 46 para atrás, 75 para frente, 18 para a direita e 69 à frente",46B75F18R69F,"[execute 46 para atrás, 75 para frente, 18 para a direita e 69 à frente → 46B75F18R69F]"
"execute sequência: 88 para frente, 25 pra esquerda, 28 à direita",88F25L28R,"[execute sequência: 88 para frente, 25 pra esquerda, 28 à direita → 88F25L28R]"
locomova-se 11 centimetros esquerda,11L,[locomova-se 11 centimetros esquerda → 11L]
"movimente 22 mm para atrás, após isso 7 mm pra frente",22B7F,"[movimente 22 mm para atrás, após isso 7 mm pra frente → 22B7F]"
faça movimento atrás de 66 mm,66B,[faça movimento atrás de 66 mm → 66B]
"primeiro 89 retroceder, então 11 pra direita, finalmente 73 lado direito",89B11R73R,"[primeiro 89 retroceder, então 11 pra direita, finalmente 73 lado direito → 89B11R73R]"
movimenta na direção de esquerdo 56 milímetros,56L,[movimenta na direção de esquerdo 56 milímetros → 56L]
"navegue 26 para a esquerda, 53 para atrás e 64 para voltar",26L53B64B,"[navegue 26 para a esquerda, 53 para atrás e 64 para voltar → 26L53B64B]"
locomova-se 40 para atrás e 30 para esquerda,40B30L,[locomova-se 40 para atrás e 30 para esquerda → 40B30L]
"faça 53 cm lado direito, e 51 cm à esquerda",53R51L,"[faça 53 cm lado direito, e 51 cm à esquerda → 53R51L]"
"mova 66 do lado direito, 25 retroceder e 48 voltar",66R25B48B,"[mova 66 do lado direito, 25 retroceder e 48 voltar → 66R25B48B]"
desloca para a direita 60 passos,60R,[desloca para a direita 60 passos → 60R]
33 centimetros à esquerda,33L,[33 centimetros à esquerda → 33L]
proceda 95 m para atrás,95B,[proceda 95 m para atrás → 95B]
avance 63 m para trás,63B,[avance 63 m para trás → 63B]
"movimenta 8 à frente, 91 pra direita e 70 lado esquerdo",8F91R70L,"[movimenta 8 à frente, 91 pra direita e 70 lado esquerdo → 8F91R70L]"
movimenta em direção à frente 13 centímetro,13F,[movimenta em direção à frente 13 centímetro → 13F]
mova 92 mm para direita,92R,[mova 92 mm para direita → 92R]
caminha 41 centímetros em frente após isso 92 centímetros trás,41F92B,[caminha 41 centímetros em frente após isso 92 centímetros trás → 41F92B]
caminha 84 m atrás e 24 m para esquerda,84B24L,[caminha 84 m atrás e 24 m para esquerda → 84B24L]
"realize movimento triplo: 78 à frente, 79 à direita, 16 atrás",78F79R16B,"[realize movimento triplo: 78 à frente, 79 à direita, 16 atrás → 78F79R16B]"
realize movimento de 93 lado direito seguido de 83 do lado esquerdo,93R83L,[realize movimento de 93 lado direito seguido de 83 do lado esquerdo → 93R83L]
caminhe pra trás 100 m,100B,[caminhe pra trás 100 m → 100B]
"desloque-se 24 avante, 61 recuar e 56 esquerda",24F61B56L,"[desloque-se 24 avante, 61 recuar e 56 esquerda → 24F61B56L]"
caminha para atrás 41 centimetros,41B,[caminha para atrás 41 centimetros → 41B]
"movimente 12 mm do lado esquerdo, após isso 44 mm para direita",12L44R,"[movimente 12 mm do lado esquerdo, após isso 44 mm para direita → 12L44R]"
"faça 49 centimetro para direita, e 5 centimetro à direita",49R5R,"[faça 49 centimetro para direita, e 5 centimetro à direita → 49R5R]"
"faça 45 milímetros à frente, depois 64 milímetros para atrás e por fim 45 milímetros voltar",45F64B45B,"[faça 45 milímetros à frente, depois 64 milímetros para atrás e por fim 45 milímetros voltar → 45F64B45B]"
"faça 93 centimetro direita, em seguida 17 centimetro pra trás",93R17B,"[faça 93 centimetro direita, em seguida 17 centimetro pra trás → 93R17B]"
mova 68m para direita,68R,[mova 68m para direita → 68R]
caminha 26 milímetros adiante,26F,[caminha 26 milímetros adiante → 26F]
navegue 13 m do lado esquerdo na sequência 21 m frente,13L21F,[navegue 13 m do lado esquerdo na sequência 21 m frente → 13L21F]
mova do lado esquerdo 76 m,76L,[mova do lado esquerdo 76 m → 76L]
faça movimento pra esquerda de 61 centimetro,61L,[faça movimento pra esquerda de 61 centimetro → 61L]
realize movimento de 81 frente seguido de 24 direita,81F24R,[realize movimento de 81 frente seguido de 24 direita → 81F24R]
mova 36metros na frente,36F,[mova 36metros na frente → 36F]
desloque 48 centímetros voltar,48B,[desloque 48 centímetros voltar → 48B]
execute 74 do lado direito em seguida 87 para a esquerda,74R87L,[execute 74 do lado direito em seguida 87 para a esquerda → 74R87L]
dirija-se 98metros recuar,98B,[dirija-se 98metros recuar → 98B]
movimente 7 centímetros para direita,7R,[movimente 7 centímetros para direita → 7R]
"sequência completa: 50 centimetros lado direito, 66 centimetros pra esquerda, 57 centimetros para trás, 28 centimetros à direita",50R66L57B28R,"[sequência completa: 50 centimetros lado direito, 66 centimetros pra esquerda, 57 centimetros para trás, 28 centimetros à direita → 50R66L57B28R]"
desloca para atrás 40 unidades,40B,[desloca para atrás 40 unidades → 40B]
mova-se avante 96 m,96F,[mova-se avante 96 m → 96F]
vá 97 unidades na frente,97F,[vá 97 unidades na frente → 97F]
"31 direita, 48 para esquerda",31R48L,"[31 direita, 48 para esquerda → 31R48L]"
ande 42m esquerda,42L,[ande 42m esquerda → 42L]
prossiga para atrás 28 centimetros,28B,[prossiga para atrás 28 centimetros → 28B]
ande 4 metros para frente,4F,[ande 4 metros para frente → 4F]
"execute sequência: 29 atrás, 19 trás, 20 à frente",29B19B20F,"[execute sequência: 29 atrás, 19 trás, 20 à frente → 29B19B20F]"
"3 para trás, 79 na frente, 52 para atrás",3B79F52B,"[3 para trás, 79 na frente, 52 para atrás → 3B79F52B]"
desloque-se 42 voltar e posteriormente 28 à direita,42B28R,[desloque-se 42 voltar e posteriormente 28 à direita → 42B28R]
navegue 99 unidades para direito,99R,[navegue 99 unidades para direito → 99R]
desloque 1 centímetro retroceder,1B,[desloque 1 centímetro retroceder → 1B]
"77 pra direita, 82 pra trás, 41 pra frente, 84 para trás",77R82B41F84B,"[77 pra direita, 82 pra trás, 41 pra frente, 84 para trás → 77R82B41F84B]"
"realize movimento triplo: 72 à frente, 12 à esquerda, 62 pra frente",72F12L62F,"[realize movimento triplo: 72 à frente, 12 à esquerda, 62 pra frente → 72F12L62F]"
realize movimento de 84 voltar seguido de 55 avante,84B55F,[realize movimento de 84 voltar seguido de 55 avante → 84B55F]
"realize movimento triplo: 65 adiante, 68 pra direita, 22 para a direita",65F68R22R,"[realize movimento triplo: 65 adiante, 68 pra direita, 22 para a direita → 65F68R22R]"
ande voltar 20 metros,20B,[ande voltar 20 metros → 20B]
vá 84 passos pra direita após isso 84 passos na frente,84R84F,[vá 84 passos pra direita após isso 84 passos na frente → 84R84F]
caminhe 42 para direita e 19 para frente,42R19F,[caminhe 42 para direita e 19 para frente → 42R19F]
realize deslocamento de 16 cm à esquerda,16L,[realize deslocamento de 16 cm à esquerda → 16L]
caminha em direção à adiante 99 centimetro,99F,[caminha em direção à adiante 99 centimetro → 99F]
proceda 73 mm na frente,73F,[proceda 73 mm na frente → 73F]
"20 lado direito, 19 à esquerda",20R19L,"[20 lado direito, 19 à esquerda → 20R19L]"
"primeiro 82 do lado esquerdo, então 96 para esquerda, finalmente 87 à esquerda",82L96L87L,"[primeiro 82 do lado esquerdo, então 96 para esquerda, finalmente 87 à esquerda → 82L96L87L]"
"execute 21 direita, 8 pra frente, 47 para frente e 58 para atrás",21R8F47F58B,"[execute 21 direita, 8 pra frente, 47 para frente e 58 para atrás → 21R8F47F58B]"
dirija-se 86 centimetro para trás então 58 centimetro para esquerda,86B58L,[dirija-se 86 centimetro para trás então 58 centimetro para esquerda → 86B58L]
37 cm à direita,37R,[37 cm à direita → 37R]
movimente-se 94cm para atrás,94B,[movimente-se 94cm para atrás → 94B]
desloque-se 33 direita e posteriormente 83 voltar,33R83B,[desloque-se 33 direita e posteriormente 83 voltar → 33R83B]
"33 centimetros para a esquerda, 85 centimetros para esquerda",33L85L,"[33 centimetros para a esquerda, 85 centimetros para esquerda → 33L85L]"
movimente 73 unidades para direita,73R,[movimente 73 unidades para direita → 73R]
caminhe 33 metros para direito,33R,[caminhe 33 metros para direito → 33R]
"movimente 77 centímetros em frente, após isso 17 centímetros lado esquerdo",77F17L,"[movimente 77 centímetros em frente, após isso 17 centímetros lado esquerdo → 77F17L]"
"7 centímetro na direção de avante, 48 centímetro na direção de esquerda",7F48L,"[7 centímetro na direção de avante, 48 centímetro na direção de esquerda → 7F48L]"
caminhe para atrás 79 centimetros,79B,[caminhe para atrás 79 centimetros → 79B]
move 85 à frente e depois 9 avante,85F9F,[move 85 à frente e depois 9 avante → 85F9F]
"faça 86 centimetro para a direita, depois 42 centimetro trás",86R42B,"[faça 86 centimetro para a direita, depois 42 centimetro trás → 86R42B]"
desloca 93m para a esquerda,93L,[desloca 93m para a esquerda → 93L]
41 m para direita,41R,[41 m para direita → 41R]
faça movimento pra trás de 68 centimetro,68B,[faça movimento pra trás de 68 centimetro → 68B]
execute movimento de 99 milímetros frente,99F,[execute movimento de 99 milímetros frente → 99F]
"56 mm na direção de retroceder, 99 mm na direção de a direita",56B99R,"[56 mm na direção de retroceder, 99 mm na direção de a direita → 56B99R]"
"65 à frente, 4 para frente",65F4F,"[65 à frente, 4 para frente → 65F4F]"
proceda 1 passos voltar,1B,[proceda 1 passos voltar → 1B]
navegue para adiante 42 milímetros,42F,[navegue para adiante 42 milímetros → 42F]
execute 21 para frente e 86 na frente,21F86F,[execute 21 para frente e 86 na frente → 21F86F]
"avance 16 à esquerda, depois 64 para a direita, então 26 em frente e finalmente 12 lado direito",16L64R26F12R,"[avance 16 à esquerda, depois 64 para a direita, então 26 em frente e finalmente 12 lado direito → 16L64R26F12R]"
"38 na frente, 3 lado esquerdo, 67 pra esquerda, 26 trás",38F3L67L26B,"[38 na frente, 3 lado esquerdo, 67 pra esquerda, 26 trás → 38F3L67L26B]"
"sequência completa: 99 centimetros pra esquerda, 51 centimetros pra trás, 71 centimetros para atrás, 73 centimetros avante",99L51B71B73F,"[sequência completa: 99 centimetros pra esquerda, 51 centimetros pra trás, 71 centimetros para atrás, 73 centimetros avante → 99L51B71B73F]"
navegue 32 centimetro pra trás,32B,[navegue 32 centimetro pra trás → 32B]
desloque 41 milímetros para trás,41B,[desloque 41 milímetros para trás → 41B]
navegue para a esquerda 71 m,71L,[navegue para a esquerda 71 m → 71L]
ande 69 m frente na sequência 33 m adiante,69F33F,[ande 69 m frente na sequência 33 m adiante → 69F33F]
dirija-se 59 metros pra esquerda após isso 89 metros para a esquerda após isso 60 metros na frente,59L89L60F,[dirija-se 59 metros pra esquerda após isso 89 metros para a esquerda após isso 60 metros na frente → 59L89L60F]
"faça 21 centimetros voltar, na sequência 9 centimetros trás",21B9B,"[faça 21 centimetros voltar, na sequência 9 centimetros trás → 21B9B]"
"realize movimento triplo: 86 para a direita, 60 para atrás, 29 frente",86R60B29F,"[realize movimento triplo: 86 para a direita, 60 para atrás, 29 frente → 86R60B29F]"
proceda 89 milímetros para direita,89R,[proceda 89 milímetros para direita → 89R]
realize deslocamento de 74 centimetros trás,74B,[realize deslocamento de 74 centimetros trás → 74B]
"primeiro 12 adiante, depois 84 pra frente",12F84F,"[primeiro 12 adiante, depois 84 pra frente → 12F84F]"
realize movimento de 52 direita seguido de 32 retroceder,52R32B,[realize movimento de 52 direita seguido de 32 retroceder → 52R32B]
faça movimento à direita de 74 centímetros,74R,[faça movimento à direita de 74 centímetros → 74R]
"6 retroceder, 83 em frente, 5 para a esquerda",6B83F5L,"[6 retroceder, 83 em frente, 5 para a esquerda → 6B83F5L]"
"primeiro 25 avante, depois 85 do lado direito",25F85R,"[primeiro 25 avante, depois 85 do lado direito → 25F85R]"
realize movimento de 5 para frente seguido de 12 à frente,5F12F,[realize movimento de 5 para frente seguido de 12 à frente → 5F12F]
faça movimento para direita de 85 centimetros,85R,[faça movimento para direita de 85 centimetros → 85R]
"49 pra trás, 65 do lado esquerdo",49B65L,"[49 pra trás, 65 do lado esquerdo → 49B65L]"
